,Date,Cases,Deaths,Recoveries
0,10 Jul 2021,37595219.042656586,456771.95068646787,35137261.99490243
1,11 Jul 2021,38798994.88564278,466191.62055606226,36539904.78127022
2,12 Jul 2021,40386757.37617133,474925.18971294205,36963774.897395715
3,13 Jul 2021,41321372.69387163,482391.3065288959,37620374.00820769
4,14 Jul 2021,42841450.995330065,487635.51872380986,37844912.94860156
5,15 Jul 2021,42973577.35494836,494176.3399175559,38149418.44154906
6,16 Jul 2021,42745461.65940586,498651.2950087965,38604061.40712845
