,Date,Total Confirmed,Total Deaths,Total Recoveries
0,03 Aug 2021,200945661.4143249,4304283.501700429,135650729.84043634
1,04 Aug 2021,201517237.83151397,4316517.943289596,136236546.2923183
2,05 Aug 2021,202091738.7940295,4328035.708598972,136785842.59068286
3,06 Aug 2021,202638373.23680133,4338895.760107983,137286058.00839648
4,07 Aug 2021,203133823.03127468,4348528.422143208,137759590.05445084
5,08 Aug 2021,203584365.8032092,4356834.464139319,138191748.76684415
6,09 Aug 2021,204058841.53638136,4366158.14746128,138587334.87137386
